ID;NAME
23;Adidas
26;Amazon
18;Apple
24;Asia Pulp & Paper
16;AstraZeneca LP
55;Bank J. Safra Sarasin
3;Chiquita
11;CincinnatiEnq
54;Credit Suisse
13;Cutrale
14;Dole Food
40;Duke Energy
34;European Union
21;FIFA
48;Facebook
31;FoxConn
39;GlaxoSmithKlein LLC
22;Goldman Sachs
47;Google
50;Haribo
41;Hennes & Mauritz (H&M)
36;Hewlett-Packard
25;Hikvision
52;Huawei Technologies Co., Ltd.
29;Hudson Valley Foie Gras
27;International Committee of the Fourth Internationa
37;Kellogg's
28;Lush
44;Mars, Inc.
46;Microsoft
17;Nestlé
35;Nike
15;Novartis
9;Oxfam
30;Palantir
49;Patagonia
33;Pegatron
42;Philip Morris
10;Rainforest Alli
53;Ruag
5;SOMO
19;Samsung Electronics Co. Ltd.
6;Schwarzenbach M
51;SeaWorld
57;Siemens AG
1;TestCompany
45;The Hershey Company
38;The Kellogg Company
43;The Wrigley Company
20;Toshiba Corporation
56;UBS
8;USA Government
32;Wintek
4;Zara
7;peuplesolidaire
2;testc2
12;testcompany alsjdfojasdfoj
